wall_clock,x,y,z
14:49:42,4.163,1.145,0.666
14:49:42,4.168,1.153,0.664
14:49:43,4.172,1.165,0.666
14:49:43,4.173,1.178,0.667
14:49:44,4.172,1.187,0.666
14:49:44,4.172,1.193,0.665
14:49:45,4.176,1.195,0.665
14:49:45,4.181,1.192,0.662
14:49:46,4.184,1.188,0.661
14:49:46,4.186,1.184,0.664
14:49:47,4.188,1.180,0.664
14:49:47,4.192,1.176,0.661
14:49:48,4.195,1.175,0.653
14:49:48,4.198,1.174,0.646
14:49:49,4.202,1.174,0.642
14:49:49,4.204,1.175,0.641
14:49:50,4.205,1.178,0.642
14:49:50,4.202,1.183,0.645
14:49:51,4.200,1.187,0.647
14:49:51,4.200,1.187,0.647
14:49:52,4.200,1.183,0.646
14:49:52,4.199,1.174,0.650
14:49:53,4.200,1.164,0.653
14:49:53,4.202,1.156,0.657
14:49:54,4.203,1.154,0.663
14:49:54,4.202,1.157,0.674
14:49:55,4.202,1.163,0.686
14:49:55,4.203,1.171,0.693
14:49:56,4.204,1.179,0.694
14:49:56,4.202,1.187,0.696
14:49:57,4.201,1.193,0.699
14:49:57,4.203,1.197,0.701
14:49:58,4.204,1.199,0.702
14:49:58,4.204,1.201,0.701
14:49:59,4.204,1.202,0.700
14:49:59,4.203,1.200,0.697
14:50:00,4.201,1.194,0.690
14:50:00,4.195,1.187,0.686
14:50:01,4.189,1.179,0.683
14:50:01,4.186,1.171,0.678
14:50:02,4.187,1.165,0.674
14:50:02,4.193,1.157,0.672
14:50:03,4.201,1.150,0.669
14:50:03,4.207,1.144,0.662
14:50:04,4.211,1.138,0.655
14:50:04,4.212,1.133,0.649
14:50:05,4.209,1.131,0.645
14:50:06,4.203,1.132,0.647
14:50:06,4.197,1.134,0.652
14:50:07,4.191,1.135,0.658
14:50:07,4.184,1.138,0.662
14:50:08,4.175,1.141,0.665
14:50:08,4.167,1.145,0.667
14:50:09,4.158,1.147,0.670
14:50:09,4.152,1.147,0.674
14:50:10,4.149,1.147,0.680
14:50:10,4.147,1.147,0.682
14:50:11,4.145,1.148,0.681
14:50:11,4.143,1.150,0.681
14:50:12,4.140,1.154,0.680
14:50:12,4.136,1.156,0.678
14:50:13,4.132,1.157,0.675
14:50:13,4.132,1.158,0.672
14:50:14,4.135,1.159,0.671
14:50:14,4.142,1.158,0.668
14:50:15,4.150,1.157,0.667
14:50:15,4.160,1.151,0.669
14:50:16,4.166,1.141,0.676
14:50:16,4.167,1.134,0.680
14:50:17,4.164,1.133,0.681
14:50:17,4.160,1.135,0.682
14:50:18,4.159,1.138,0.683
14:50:18,4.162,1.140,0.685
14:50:19,4.164,1.143,0.691
14:50:19,4.164,1.143,0.696
14:50:20,4.167,1.139,0.698
14:50:20,4.174,1.133,0.701
14:50:21,4.184,1.127,0.708
14:50:21,4.193,1.123,0.717
14:50:22,4.198,1.119,0.725
14:50:22,4.198,1.114,0.727
14:50:23,4.193,1.107,0.730
14:50:23,4.185,1.103,0.732
14:50:24,4.177,1.105,0.734
14:50:24,4.170,1.111,0.737
14:50:25,4.164,1.119,0.741
14:50:25,4.158,1.126,0.747
